countries,count
United States,579
China,273
India,174
United Kingdom,173
Italy,112
Germany,108
France,101
Canada,96
Australia,94
Spain,89
Brazil,83
Japan,77
South Korea,71
Netherlands,63
Turkey,59
Switzerland,54
Iran,52
Sweden,47
Russia,43
South Africa,39
